"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,13.3940516700195,0.818,0,0,"12","AL731557.1"
0,13.3583168103232,1,0.001,0,"12","GP1BB"
0,13.3331380054644,0.545,0,0,"12","TRAPPC3L"
0,13.2183658075499,0.227,0,0,"12","SCGB1C1"
0,13.2025100215192,0.591,0,0,"12","CTTN"
4.00073486715207e-69,10.1845347753572,0.034,0,1.46430896872633e-64,"13","PAX2"
4.00073486715207e-69,9.35655655514625,0.034,0,1.46430896872633e-64,"13","OR2T8"
4.00073486715207e-69,9.34145010390836,0.034,0,1.46430896872633e-64,"13","AC092134.3"
4.00073486715207e-69,9.21611429380505,0.034,0,1.46430896872633e-64,"13","COX6B2"
4.00073486715207e-69,9.20520609976676,0.034,0,1.46430896872633e-64,"13","AL157823.2"
4.00073486715207e-69,9.20520609976676,0.034,0,1.46430896872633e-64,"13","AC021231.1"
4.00073486715207e-69,9.18661008557375,0.034,0,1.46430896872633e-64,"13","AC106873.1"
3.05482276754223e-35,9.11937545995922,0.034,0,1.11809568114813e-30,"13","AC008395.1"
4.00073486715207e-69,9.05066580184391,0.034,0,1.46430896872633e-64,"13","AC079684.1"
4.00073486715207e-69,9.02086722896242,0.034,0,1.46430896872633e-64,"13","RMDN2-AS1"
4.00073486715207e-69,9.02086722896242,0.034,0,1.46430896872633e-64,"13","AL671883.3"
